Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM)
2001-03-06,262.6,261.85,179.066,178.652,283.279,282.014
2001-03-07,261.55,260.65,178.618,178.625,279.942,281.085
2001-03-08,263.6,263.65,179.405,179.623,282.62,282.947
2001-03-09,268.75,269.8,182.823,183.775,287.587,289.175
2001-03-12,270.5,272.5,184.516,185.981,290.548,293.326
2001-03-13,269.4,269.3,184.926,185.29,291.716,292.495
2001-03-14,267.45,263.85,184.131,182.28,292.327,289.627
2001-03-15,262.7,262.05,181.611,181.639,288.681,289.079
2001-03-16,260.2,260.7,181.324,182.028,290.889,290.862
2001-03-19,260.5,260.55,181.939,182.381,289.605,290.08
2001-03-20,262.6,261.55,183.636,183.03,290.487,289.806
2001-03-21,261.2,262.0,182.913,183.409,290.933,291.597
2001-03-22,262.25,261.15,184.346,184.103,294.497,294.918
2001-03-23,262.3,262.85,183.748,184.069,293.63,294.411
2001-03-26,261.3,262.2,182.23,182.909,292.839,293.125
2001-03-27,262.75,262.0,183.293,182.324,293.215,292.085
2001-03-28,261.2,260.15,182.785,181.669,294.244,292.962
2001-03-29,260.2,260.15,180.694,180.949,293.183,294.121
2001-03-30,259.05,257.7,181.789,180.627,294.041,291.252
2001-04-02,257.55,255.95,181.603,180.208,293.571,291.415
2001-04-03,257.0,257.1,180.414,180.295,290.461,290.246
2001-04-04,259.2,259.45,180.753,180.953,289.383,287.002
2001-04-05,258.2,258.1,180.219,180.616,287.016,287.416
2001-04-06,258.1,258.8,180.414,180.474,286.587,287.715
2001-04-09,260.9,259.0,180.491,178.806,288.926,286.981
2001-04-10,257.05,256.65,178.05,177.674,286.982,286.92
2001-04-11,258.45,257.7,179.854,179.845,290.393,292.078
2001-04-12,259.4,259.25,180.792,180.411,292.117,291.063
2001-04-17,262.15,260.55,182.327,181.733,297.222,295.844
2001-04-18,260.1,258.85,182.143,181.968,295.233,295.491
2001-04-19,261.35,263.1,182.762,183.153,295.745,295.951
2001-04-20,264.2,263.85,182.774,183.102,293.327,293.167
2001-04-23,262.9,262.6,182.316,182.121,291.367,291.681
2001-04-24,263.65,263.4,183.218,182.587,293.924,292.245
2001-04-25,263.95,263.5,183.95,183.012,295.511,293.169
2001-04-26,262.2,263.5,182.147,182.669,292.373,292.291
2001-04-27,264.45,264.6,183.391,184.519,293.247,296.437
2001-04-30,263.45,263.15,183.461,183.97,296.011,296.607
2001-05-01,263.8,264.0,184.799,184.449,297.407,296.296
2001-05-02,265.0,263.95,185.315,184.451,297.485,296.307
2001-05-03,265.3,266.4,185.007,185.257,296.922,297.321
2001-05-04,265.8,266.6,185.356,185.165,297.748,297.279
2001-05-08,265.6,265.2,185.307,185.325,299.234,299.83
2001-05-09,265.2,267.85,186.027,188.467,300.136,302.758
2001-05-10,269.4,268.45,189.451,188.969,303.618,304.158
2001-05-11,268.95,269.05,189.869,189.739,306.566,307.135
2001-05-14,267.7,268.35,188.987,189.312,306.048,306.861
2001-05-15,268.05,266.6,188.901,187.68,306.098,303.748
2001-05-16,269.1,270.9,188.67,189.48,304.826,306.205
2001-05-17,271.75,274.0,189.942,191.877,307.688,311.222
2001-05-18,272.1,273.0,190.373,190.976,309.486,311.288
2001-05-21,288.35,291.25,200.717,202.173,328.904,332.25
2001-05-22,282.75,284.15,196.956,198.845,324.329,327.362
2001-05-23,283.85,283.15,199.683,198.897,330.712,329.627
2001-05-24,283.45,286.05,200.177,202.442,329.977,332.616
2001-05-25,280.65,276.25,198.059,194.474,328.246,321.82
2001-05-29,276.65,275.75,195.126,194.519,323.189,323.044
2001-05-30,273.65,271.0,192.603,190.149,320.133,316.035
2001-05-31,266.1,267.5,187.619,188.752,313.428,315.821
2001-06-01,265.65,265.4,187.143,187.694,313.822,313.712
2001-06-04,266.25,266.5,187.685,187.808,312.573,312.647
2001-06-05,266.15,265.7,188.96,188.199,315.12,313.067
2001-06-06,266.95,265.5,190.679,189.778,312.624,312.353
2001-06-07,266.25,266.1,191.657,192.408,313.9,313.945
2001-06-08,267.25,267.0,193.659,193.534,314.042,314.858
2001-06-11,272.75,268.5,196.775,195.344,321.071,317.864
2001-06-12,267.9,269.9,194.553,195.992,316.48,317.866
2001-06-13,271.8,271.95,197.529,195.859,317.895,318.07
2001-06-14,272.2,272.4,195.546,195.045,319.109,319.156
2001-06-15,274.35,272.2,195.615,193.42,318.087,315.411
2001-06-18,271.5,272.0,192.964,193.939,315.331,316.463
2001-06-19,273.95,273.4,195.818,195.495,319.289,318.834
2001-06-20,272.4,271.5,194.989,194.693,318.97,318.662
2001-06-21,272.65,271.7,194.195,192.63,317.59,318.523
2001-06-22,273.2,273.3,193.061,193.665,320.281,319.839
2001-06-25,273.1,272.9,192.663,192.93,316.895,317.141
2001-06-26,273.85,274.0,193.766,193.667,317.397,318.235
2001-06-27,276.0,274.8,194.421,194.411,319.444,319.721
2001-06-28,271.45,269.5,192.136,191.026,316.855,319.798
2001-06-29,269.9,270.6,192.031,192.529,318.466,319.367
2001-07-02,269.1,268.35,190.581,189.339,318.085,317.649
2001-07-03,268.6,268.5,190.146,190.832,317.119,317.001
2001-07-04,267.6,267.6,190.463,190.53,316.499,316.2
2001-07-05,267.55,266.3,190.4,189.672,318.133,316.835
2001-07-06,265.2,265.1,189.416,189.02,315.714,315.595
2001-07-09,266.85,266.1,185.591,188.991,315.426,313.797
2001-07-10,267.2,267.45,189.034,189.493,312.259,312.442
2001-07-11,266.55,267.55,188.175,188.988,309.69,310.023
2001-07-12,267.55,266.3,190.363,189.537,313.407,312.375
2001-07-13,266.4,266.35,189.947,190.318,311.761,312.801
2001-07-16,268.0,268.25,191.333,191.47,312.901,313.376
2001-07-17,266.85,267.6,191.359,190.938,313.388,314.085
2001-07-18,268.1,268.55,191.091,190.393,312.471,310.822
2001-07-19,271.55,270.3,191.098,190.984,309.529,310.404
2001-07-20,270.1,269.7,188.947,188.338,308.509,307.877
2001-07-23,269.25,268.7,189.213,189.159,309.839,309.562
2001-07-24,268.9,268.75,189.5,189.394,308.726,307.494
2001-07-25,269.25,268.4,189.213,187.889,307.363,304.896
2001-07-26,267.15,267.5,186.818,187.194,303.752,304.427
2001-07-27,265.85,266.15,186.627,186.497,303.239,303.305
2001-07-30,266.4,266.3,187.315,186.641,304.388,304.1
2001-07-31,265.55,265.9,186.168,186.4,303.139,303.366
2001-08-01,267.7,267.35,186.967,186.697,303.963,303.634
2001-08-02,268.3,267.0,187.164,186.844,304.023,303.582
2001-08-03,267.5,267.85,186.932,187.504,303.46,302.484
2001-08-06,267.9,267.2,187.802,188.275,304.086,303.567
2001-08-07,266.7,266.45,188.507,188.012,304.278,303.647
2001-08-08,266.5,266.4,188.273,188.202,304.571,303.832
2001-08-09,269.0,270.0,189.29,190.235,303.955,304.912
2001-08-10,273.35,275.8,191.583,193.435,305.761,308.329
2001-08-13,275.1,275.6,193.487,193.594,306.484,306.324
2001-08-14,274.1,274.5,193.083,193.337,306.257,306.191
2001-08-15,276.35,275.35,192.914,191.548,304.183,302.416
2001-08-16,275.1,275.9,189.633,191.199,299.673,302.688
2001-08-17,276.25,277.45,191.335,192.58,302.309,303.722
2001-08-20,277.75,276.65,192.148,191.652,303.221,303.344
2001-08-21,276.95,276.3,191.383,190.749,303.075,302.132
2001-08-22,277.25,275.85,190.158,189.509,300.054,299.284
2001-08-23,274.3,274.85,189.893,189.945,301.098,301.041
2001-08-24,275.15,272.8,190.442,188.724,301.105,298.534
2001-08-28,271.6,271.05,188.808,187.708,300.11,299.172
2001-08-29,272.85,272.85,187.719,187.913,299.014,299.671
2001-08-30,273.4,272.3,188.357,187.715,300.77,299.659
2001-08-31,275.35,273.0,188.57,187.835,300.044,299.276
2001-09-03,273.55,273.35,188.136,187.999,300.935,301.212
2001-09-04,272.25,272.3,188.408,188.247,303.275,304.11
2001-09-05,271.7,271.3,188.406,186.82,306.141,305.69
2001-09-06,272.0,272.05,187.418,187.478,306.306,305.331
2001-09-07,273.15,273.6,187.926,187.372,305.366,303.73
2001-09-10,273.2,271.5,186.167,185.73,302.38,301.466
2001-09-11,271.4,287.0,186.427,196.172,302.733,317.654
2001-09-12,279.5,279.0,190.915,190.6,308.669,307.913
2001-09-13,278.5,280.25,189.895,190.971,306.955,308.952
2001-09-14,284.5,285.75,192.816,193.926,310.929,310.801
2001-09-17,291.0,293.25,197.221,199.354,312.399,316.343
2001-09-18,288.65,289.4,196.829,198.016,313.069,313.951
2001-09-19,289.35,288.1,197.549,196.655,312.473,311.628
2001-09-20,288.2,288.5,196.322,196.928,310.962,311.454
2001-09-21,291.3,292.5,199.794,200.48,316.803,319.045
2001-09-24,289.65,288.2,198.663,196.616,317.008,314.526
2001-09-25,287.95,288.0,196.983,196.118,313.5,312.195
2001-09-26,291.6,291.45,197.628,197.929,316.509,316.45
2001-09-27,291.25,289.8,197.525,196.675,315.889,316.031
2001-09-28,290.85,293.1,197.776,199.932,317.349,321.205
2001-10-01,291.65,290.6,197.93,196.391,320.178,317.492
2001-10-02,291.1,291.65,196.915,198.132,318.246,317.598
2001-10-03,289.95,290.1,197.312,196.545,314.65,315.669
2001-10-04,289.15,290.35,196.367,196.647,315.666,317.218
2001-10-05,291.6,291.2,197.561,197.023,317.889,317.384
2001-10-08,292.85,291.85,198.475,198.039,317.453,317.228
2001-10-09,291.1,290.0,198.095,197.575,315.795,315.355
2001-10-10,286.5,287.15,196.975,197.408,314.145,313.997
2001-10-11,282.35,281.85,194.59,195.282,310.172,312.958
2001-10-12,282.85,281.8,195.473,194.385,312.887,311.898
2001-10-15,283.75,281.85,195.595,194.446,311.745,310.237
2001-10-16,281.25,281.1,194.569,194.398,310.533,310.196
2001-10-17,281.65,281.6,194.806,194.395,311.663,310.782
2001-10-18,282.2,281.0,195.254,194.531,312.445,311.013
2001-10-19,278.7,279.15,193.354,194.029,309.563,310.512
2001-10-22,277.55,275.9,193.752,193.207,309.076,308.647
2001-10-23,274.9,276.05,193.387,194.155,309.398,309.82
2001-10-24,276.15,275.5,193.206,193.266,309.689,308.995
2001-10-25,275.35,276.7,193.16,193.483,309.174,308.645
2001-10-26,276.95,277.25,193.333,193.543,309.961,310.958
2001-10-29,277.7,278.6,191.848,191.939,309.071,308.459
2001-10-30,280.2,280.4,192.577,192.318,309.442,308.471
2001-10-31,280.95,278.75,193.093,191.91,310.682,309.516
2001-11-01,279.45,280.6,191.47,191.379,308.104,311.086
2001-11-02,280.2,279.9,191.132,191.189,309.613,309.795
2001-11-05,278.95,278.25,191.916,191.066,311.016,310.443
2001-11-06,278.9,278.95,191.329,191.022,310.579,310.462
2001-11-07,280.5,280.3,191.272,191.54,310.562,311.306
2001-11-08,280.2,279.95,191.328,191.747,312.584,312.096
2001-11-09,277.3,277.15,191.334,190.089,311.223,310.185
2001-11-12,277.7,280.0,190.728,192.228,311.218,311.943
2001-11-13,277.65,276.5,191.549,191.708,313.163,313.777
2001-11-14,277.55,278.25,193.011,193.296,315.757,315.655
2001-11-15,276.05,275.45,192.035,192.152,312.734,312.372
2001-11-16,275.5,274.5,192.361,192.052,311.616,310.24
2001-11-19,274.2,273.6,192.489,192.961,311.414,311.192
2001-11-20,273.75,272.95,193.19,192.584,310.093,309.292
2001-11-21,273.15,272.8,192.563,192.587,310.892,311.238
2001-11-22,273.2,272.75,193.279,193.234,311.055,310.472
2001-11-23,272.55,273.1,193.435,193.277,310.068,310.765
2001-11-26,273.05,272.6,192.587,192.718,309.686,309.597
2001-11-27,273.65,273.3,193.803,193.309,310.789,310.568
2001-11-28,274.6,274.4,193.858,192.927,310.282,310.127
2001-11-29,274.65,274.8,192.399,192.91,308.769,309.111
2001-11-30,274.7,275.5,192.934,193.198,309.87,307.649
2001-12-03,275.25,276.35,193.429,194.681,307.886,310.053
2001-12-04,276.55,276.6,194.439,194.269,310.173,310.333
2001-12-05,275.75,275.0,193.876,193.867,309.137,309.51
2001-12-06,274.1,274.55,193.505,192.802,308.845,307.964
2001-12-07,274.75,274.1,192.604,191.344,308.016,307.459
2001-12-10,273.35,272.65,190.887,190.292,307.48,307.038
2001-12-11,272.6,272.2,189.965,189.291,305.64,305.705
2001-12-12,273.25,273.5,189.559,189.536,305.478,306.031
2001-12-13,273.95,274.35,189.585,189.73,305.237,305.682
2001-12-14,274.85,277.05,189.33,190.832,304.712,306.811
2001-12-17,277.8,277.75,190.339,190.422,306.589,306.906
2001-12-18,278.85,278.85,191.255,191.36,308.941,309.146
2001-12-19,278.9,278.65,192.358,192.106,310.579,309.956
2001-12-20,276.25,276.1,191.243,190.743,307.902,307.632
2001-12-21,277.8,277.5,191.613,192.374,309.699,311.728
2001-12-24,277.7,,192.78,,313.007,
2001-12-27,278.05,277.7,191.785,191.148,314.821,313.75
2001-12-28,277.6,276.5,191.713,191.23,314.49,314.24
2001-12-31,276.5,,190.755,,312.394,
2002-01-02,278.1,278.35,191.397,192.87,308.726,308.182
2002-01-03,278.65,278.8,192.917,192.955,308.925,309.434
2002-01-04,278.95,277.75,193.648,192.574,310.462,309.989
2002-01-07,279.65,278.6,194.067,193.539,312.458,312.262
2002-01-08,278.2,278.6,193.087,193.204,312.76,312.332
2002-01-09,279.35,281.1,194.033,195.113,313.138,316.091
2002-01-10,287.0,286.85,198.575,198.443,321.569,321.365
2002-01-11,286.6,285.75,198.518,197.682,321.3,320.276
2002-01-14,286.4,286.35,197.858,197.279,320.717,320.481
2002-01-15,283.85,284.2,196.3,196.474,318.182,318.681
2002-01-16,287.95,284.6,200.494,197.983,326.733,322.749
2002-01-17,285.15,285.0,198.849,198.357,323.924,323.496
2002-01-18,283.7,283.2,197.7,197.655,321.947,321.818
2002-01-21,282.65,282.3,196.763,196.601,319.559,319.597
2002-01-22,283.35,282.05,198.064,197.611,320.749,319.603
2002-01-23,281.6,280.75,196.992,196.7,318.156,317.124
2002-01-24,279.05,279.2,196.169,196.343,318.006,318.467
2002-01-25,279.0,279.0,196.687,197.732,321.17,322.917
2002-01-28,279.35,279.1,198.472,198.084,323.135,324.535
2002-01-29,277.8,277.9,197.68,196.813,322.948,322.39
2002-01-30,280.95,281.5,198.313,199.222,324.423,326.794
2002-01-31,281.5,282.3,199.674,199.604,326.377,327.57
2002-02-01,282.0,283.9,200.0,200.806,327.716,329.465
2002-02-04,285.8,287.4,201.765,202.894,331.362,332.101
2002-02-05,290.35,291.95,204.041,205.526,333.544,335.112
2002-02-06,297.45,299.5,210.376,211.616,342.882,344.847
2002-02-07,300.35,299.5,213.09,212.487,346.424,345.444
2002-02-08,305.1,304.3,216.107,214.492,349.605,348.369
2002-02-11,301.5,297.75,211.995,209.315,343.982,339.316
2002-02-12,298.9,298.9,209.49,209.094,340.549,340.627
2002-02-13,298.6,297.4,208.156,207.754,340.868,340.547
2002-02-14,298.1,299.0,208.754,209.384,341.936,343.599
2002-02-15,300.4,299.85,210.217,209.173,344.574,343.274
2002-02-18,298.5,297.35,208.159,208.155,341.924,341.428
2002-02-19,297.25,296.5,208.89,207.953,342.849,341.079
2002-02-20,294.2,291.3,205.519,203.849,336.113,333.945
2002-02-21,291.15,292.15,204.101,204.802,334.156,335.342
2002-02-22,293.35,292.75,205.715,204.577,336.99,334.38
2002-02-25,291.8,291.95,204.099,204.619,333.676,335.305
2002-02-26,293.0,294.2,205.47,206.384,336.975,338.433
2002-02-27,299.3,297.4,211.445,209.614,346.212,343.418
2002-02-28,296.55,296.85,209.354,209.936,342.436,343.775
2002-03-01,295.8,295.4,208.119,207.94,340.862,340.676
2002-03-04,299.55,297.4,211.248,209.437,346.701,343.141
2002-03-05,296.6,297.8,208.579,209.807,341.587,344.277
2002-03-06,294.35,292.7,206.852,205.62,337.751,335.357
2002-03-07,292.15,291.0,204.658,204.311,332.745,331.435
2002-03-08,289.3,289.15,203.003,203.126,329.124,329.892
2002-03-11,291.75,291.2,205.385,204.926,333.429,332.8
2002-03-12,292.0,293.6,206.726,208.256,334.479,336.89
2002-03-13,293.75,293.15,208.259,207.32,336.175,334.532
2002-03-14,292.7,291.2,206.417,204.696,332.048,329.598
2002-03-15,291.0,290.3,204.641,203.605,329.521,327.726
2002-03-18,291.0,292.05,204.426,204.947,330.494,331.988
2002-03-19,293.2,293.1,205.495,205.439,332.05,331.937
2002-03-20,292.7,291.85,205.982,204.951,332.614,330.334
2002-03-21,292.25,292.75,204.356,205.367,330.6,332.067
2002-03-22,293.65,294.25,205.709,206.274,333.693,334.489
2002-03-25,297.7,297.7,208.473,208.663,339.066,339.84
2002-03-26,297.1,296.1,208.638,207.571,338.962,338.207
2002-03-27,297.5,299.0,208.699,209.81,339.612,341.949
2002-03-28,303.0,301.4,212.856,211.732,347.477,345.444
2002-04-02,302.65,304.0,210.393,211.038,344.508,345.062
2002-04-03,304.95,303.75,212.139,211.231,347.047,345.131
2002-04-04,301.5,301.7,209.958,209.616,342.186,341.212
2002-04-05,300.8,301.0,209.909,209.683,342.207,342.24
2002-04-08,298.5,300.45,208.261,209.519,340.365,342.94
2002-04-09,299.3,298.7,209.081,208.473,341.667,340.554
2002-04-10,297.8,298.0,207.165,207.478,337.91,338.752
2002-04-11,301.8,301.3,210.27,209.44,342.721,341.03
2002-04-12,301.65,300.35,209.99,208.968,342.434,341.851
2002-04-15,301.8,300.1,209.948,208.801,342.371,340.984
2002-04-16,299.35,297.75,208.316,206.756,339.977,337.203
2002-04-17,300.15,300.85,207.788,208.489,338.35,338.681
2002-04-18,302.3,304.25,209.132,209.987,339.739,341.24
2002-04-19,303.7,301.8,209.738,208.584,340.738,339.597
2002-04-22,303.35,303.7,209.612,209.521,340.919,341.927
2002-04-23,303.25,302.7,209.21,208.946,341.69,340.572
2002-04-24,304.5,304.2,210.363,209.865,342.327,340.955
2002-04-25,305.1,307.25,209.907,211.241,340.096,341.769
2002-04-26,307.65,306.6,211.866,210.649,342.977,341.349
2002-04-29,310.65,309.7,212.527,212.56,343.639,343.806
2002-04-30,309.35,308.2,212.218,211.443,342.96,341.609
2002-05-01,308.3,308.35,211.599,211.633,341.986,342.231
2002-05-02,308.1,307.6,210.092,210.038,340.066,340.265
2002-05-03,308.85,310.45,211.035,211.406,340.593,340.219
2002-05-07,312.65,312.0,213.18,212.926,341.956,341.843
2002-05-08,310.9,310.5,212.479,212.802,341.236,341.547
2002-05-09,308.75,308.85,211.908,212.049,340.784,341.082
2002-05-10,310.65,311.15,212.193,212.752,339.88,340.912
2002-05-13,311.6,310.75,212.914,212.653,340.286,340.697
2002-05-14,309.95,308.4,213.361,212.836,341.467,341.339
2002-05-15,307.5,308.3,212.289,211.934,340.418,339.912
2002-05-16,309.05,310.1,212.085,212.543,339.317,339.836
2002-05-17,310.65,310.6,213.139,212.959,339.508,338.898
2002-05-20,311.8,311.5,213.342,213.429,338.729,338.55
2002-05-21,315.1,315.2,216.088,216.558,342.5,343.355
2002-05-22,318.25,317.1,217.741,217.49,343.497,342.922
2002-05-23,316.25,317.15,216.758,218.197,342.114,344.167
2002-05-24,320.9,320.95,221.036,220.433,349.679,348.291
2002-05-27,320.8,320.05,220.375,219.634,348.393,348.107
2002-05-28,321.4,320.2,220.031,219.39,346.71,345.49
2002-05-29,325.2,327.05,222.511,223.884,349.452,350.912
2002-05-30,324.65,326.0,221.408,222.147,346.478,347.215
2002-05-31,327.25,326.6,223.196,223.469,348.918,349.118
2002-06-05,324.5,322.0,222.718,221.306,346.318,344.238
2002-06-06,322.9,324.1,221.772,222.138,344.537,343.508
2002-06-07,326.55,326.4,223.511,223.256,345.19,344.849
2002-06-10,323.1,322.5,221.605,220.588,342.086,340.549
2002-06-11,319.0,316.8,217.673,216.172,337.031,335.842
2002-06-12,319.55,319.75,216.791,217.443,336.936,337.467
2002-06-13,317.6,318.75,216.128,216.395,337.693,337.123
2002-06-14,319.7,322.1,216.849,217.9,338.021,339.053
2002-06-17,317.95,317.8,215.195,214.919,337.204,337.045
2002-06-18,318.05,318.35,214.681,214.19,335.85,335.388
2002-06-19,321.85,320.65,215.659,215.216,336.804,335.198
2002-06-20,320.85,322.35,214.831,215.374,334.567,335.257
2002-06-21,323.5,322.7,215.883,215.636,335.407,334.093
2002-06-24,326.35,326.4,216.628,216.589,333.453,333.504
2002-06-25,323.1,321.7,214.913,214.395,332.476,330.797
2002-06-26,324.6,321.55,212.894,210.576,328.31,324.209
2002-06-27,319.45,318.8,209.819,209.255,324.446,323.491
2002-06-28,319.05,318.5,208.284,208.238,321.202,321.393
2002-07-01,312.3,312.1,203.984,203.92,314.882,315.731
2002-07-02,312.9,314.45,205.369,205.201,319.025,318.818
2002-07-03,312.85,310.85,205.174,204.037,319.235,317.68
2002-07-04,310.9,310.6,203.896,203.833,318.382,317.101
2002-07-05,310.75,311.3,204.575,204.803,319.143,319.708
2002-07-08,313.0,311.7,204.348,203.353,317.67,316.575
2002-07-09,312.45,313.8,202.535,202.857,315.861,315.599
2002-07-10,315.95,314.8,203.773,203.359,318.081,318.301
2002-07-11,314.5,314.15,203.758,203.399,319.127,319.128
2002-07-12,316.5,316.7,204.088,204.072,320.247,319.738
2002-07-15,316.35,319.0,203.218,203.6,317.429,317.034
2002-07-16,320.35,318.25,203.294,202.449,316.583,314.414
2002-07-17,317.75,316.15,202.711,201.948,314.76,314.734
2002-07-18,316.6,317.65,202.611,202.441,315.088,315.505
2002-07-19,319.15,322.9,202.134,204.484,314.588,318.41
2002-07-22,324.0,322.9,205.597,205.016,320.285,320.433
2002-07-23,320.3,319.7,204.769,204.216,323.47,322.181
2002-07-24,313.6,311.25,200.255,197.745,317.024,313.381
2002-07-25,310.25,309.45,196.759,196.227,309.662,308.832
2002-07-26,308.6,304.95,195.564,193.952,308.446,307.409
2002-07-29,303.05,303.0,193.494,193.647,307.446,308.711
2002-07-30,304.45,305.4,194.586,194.09,309.558,308.89
2002-07-31,305.5,304.65,195.046,195.539,311.798,311.503
2002-08-01,300.65,302.25,193.705,195.088,308.771,309.778
2002-08-02,306.5,305.05,195.285,194.733,309.972,309.758
2002-08-05,307.6,309.5,196.7,197.536,311.809,313.481
2002-08-06,306.75,305.75,198.827,198.256,316.825,315.923
2002-08-07,307.8,312.2,200.221,203.626,318.304,321.922
2002-08-08,312.95,312.15,204.076,203.74,322.131,321.904
2002-08-09,309.6,312.95,202.062,205.469,317.93,322.962
2002-08-12,316.25,316.7,207.309,207.197,324.859,324.322
2002-08-13,314.7,313.8,205.418,205.232,321.45,321.023
2002-08-14,316.25,315.65,204.958,204.106,319.767,319.484
2002-08-15,312.7,312.65,204.112,204.08,320.389,319.847
2002-08-16,314.55,314.2,204.919,204.757,320.479,319.471
2002-08-19,313.05,310.1,203.345,202.481,318.302,317.238
2002-08-20,307.6,308.0,201.441,201.769,314.519,315.574
2002-08-21,308.35,306.55,201.8,200.885,314.162,313.446
2002-08-22,306.45,305.4,200.491,200.262,313.664,313.231
2002-08-23,305.8,305.95,201.516,201.283,316.072,314.925
2002-08-27,309.4,310.5,202.952,203.074,317.333,317.16
2002-08-28,310.95,311.1,202.441,202.407,316.972,316.802
2002-08-29,310.65,312.1,201.394,201.42,315.221,315.891
2002-08-30,312.4,312.8,201.289,201.937,316.996,318.566
2002-09-02,312.25,312.0,201.517,201.42,317.812,317.331
2002-09-03,313.5,313.5,201.155,200.897,315.71,315.17
2002-09-04,312.7,313.0,199.681,200.512,314.746,315.683
2002-09-05,316.2,317.55,201.337,202.326,316.865,319.789
2002-09-06,317.9,319.25,202.639,204.385,320.464,323.783
2002-09-09,322.2,322.5,206.472,206.93,328.44,328.579
2002-09-10,318.35,319.1,204.872,205.407,325.744,327.685
2002-09-11,317.15,315.5,203.824,203.68,325.115,324.756
2002-09-12,318.0,318.85,204.305,205.154,325.153,327.026
2002-09-13,318.5,318.8,204.101,203.836,324.338,324.313
2002-09-16,316.55,315.35,204.781,204.507,326.475,325.036
2002-09-17,315.3,315.9,206.146,206.067,327.244,326.512
2002-09-18,317.6,318.7,206.744,206.212,326.682,326.972
2002-09-19,320.15,322.25,205.95,207.368,326.75,328.659
2002-09-20,321.55,322.3,207.452,207.775,327.577,328.609
2002-09-23,323.45,322.5,207.673,207.462,328.209,328.411
2002-09-24,323.3,326.3,208.245,209.502,330.742,332.45
2002-09-25,325.25,325.15,207.987,208.229,331.381,332.294
2002-09-26,322.35,319.6,206.436,205.332,329.029,328.367
2002-09-27,320.15,320.05,205.95,205.754,327.419,327.584
2002-09-30,322.4,323.7,206.072,206.047,328.109,327.234
2002-10-01,322.6,321.75,204.721,204.989,326.518,326.849
2002-10-02,320.4,322.2,204.755,205.511,325.875,327.007
2002-10-03,322.7,322.1,205.607,205.355,326.586,326.64
2002-10-04,321.65,320.3,205.003,204.312,325.887,326.105
2002-10-07,322.35,321.75,206.04,205.552,328.828,327.815
2002-10-08,320.7,319.0,204.855,204.513,327.078,325.876
2002-10-09,318.8,319.35,205.307,205.277,325.041,323.95
2002-10-10,319.5,318.95,203.893,203.932,322.402,322.987
